service_id,date,exception_type
SAT,20120116,1
WKDY,20120116,2
SAT,20120220,1
WKDY,20120220,2
SUN,20120528,1
WKDY,20120528,2
SUNAB,20120528,1
M-FSAT,20120528,2
SUN,20120704,1
WKDY,20120704,2
SUNAB,20120704,1
M-FSAT,20120704,2
SUN,20120903,1
WKDY,20120903,2
SUNAB,20120903,1
M-FSAT,20120903,2
SUN,20121122,1
WKDY,20121122,2
SUNAB,20121122,1
M-FSAT,20121122,2
SUN,20121225,1
WKDY,20121225,2
SUNAB,20121225,1
M-FSAT,20121225,2
SUN,20130101,1
WKDY,20130101,2
SUNAB,20130101,1
M-FSAT,20130101,2
SAT,20130121,1
WKDY,20130121,2
SAT,20130218,1
WKDY,20130218,2
SUN,20130527,1
WKDY,20130527,2
SUNAB,20130527,1
M-FSAT,20130527,2
SUN,20130704,1
WKDY,20130704,2
SUNAB,20130704,1
M-FSAT,20130704,2
SUN,20130902,1
WKDY,20130902,2
SUNAB,20130902,1
M-FSAT,20130902,2
SUN,20131128,1
WKDY,20131128,2
SUNAB,20131128,1
M-FSAT,20131128,2
SUN,20131225,1
WKDY,20131225,2
SUNAB,20131225,1
M-FSAT,20131225,2
SUN,20140101,1
WKDY,20140101,2
SUNAB,20140101,1
M-FSAT,20140101,2
