fare_id,price,currency_type,payment_method,transfers,transfer_duration,agency_id
35,1.75,USD,1,,,BART
36,1.80,USD,1,,,BART
37,1.85,USD,1,,,BART
38,1.90,USD,1,,,BART
39,1.95,USD,1,,,BART
40,2.00,USD,1,,,BART
41,2.05,USD,1,,,BART
42,2.10,USD,1,,,BART
43,2.15,USD,1,,,BART
44,2.20,USD,1,,,BART
45,2.25,USD,1,,,BART
46,2.30,USD,1,,,BART
47,2.35,USD,1,,,BART
48,2.40,USD,1,,,BART
49,2.45,USD,1,,,BART
50,2.50,USD,1,,,BART
53,2.65,USD,1,,,BART
54,2.70,USD,1,,,BART
55,2.75,USD,1,,,BART
56,2.80,USD,1,,,BART
57,2.85,USD,1,,,BART
58,2.90,USD,1,,,BART
59,2.95,USD,1,,,BART
60,3.00,USD,1,,,BART
61,3.05,USD,1,,,BART
62,3.10,USD,1,,,BART
63,3.15,USD,1,,,BART
64,3.20,USD,1,,,BART
65,3.25,USD,1,,,BART
66,3.30,USD,1,,,BART
67,3.35,USD,1,,,BART
68,3.40,USD,1,,,BART
69,3.45,USD,1,,,BART
70,3.50,USD,1,,,BART
71,3.55,USD,1,,,BART
72,3.60,USD,1,,,BART
73,3.65,USD,1,,,BART
74,3.70,USD,1,,,BART
75,3.75,USD,1,,,BART
76,3.80,USD,1,,,BART
77,3.85,USD,1,,,BART
78,3.90,USD,1,,,BART
79,3.95,USD,1,,,BART
80,4.00,USD,1,,,BART
81,4.05,USD,1,,,BART
82,4.10,USD,1,,,BART
83,4.15,USD,1,,,BART
84,4.20,USD,1,,,BART
85,4.25,USD,1,,,BART
86,4.30,USD,1,,,BART
87,4.35,USD,1,,,BART
88,4.40,USD,1,,,BART
89,4.45,USD,1,,,BART
90,4.50,USD,1,,,BART
91,4.55,USD,1,,,BART
92,4.60,USD,1,,,BART
93,4.65,USD,1,,,BART
94,4.70,USD,1,,,BART
95,4.75,USD,1,,,BART
96,4.80,USD,1,,,BART
97,4.85,USD,1,,,BART
98,4.90,USD,1,,,BART
99,4.95,USD,1,,,BART
100,5.00,USD,1,,,BART
101,5.05,USD,1,,,BART
102,5.10,USD,1,,,BART
103,5.15,USD,1,,,BART
104,5.20,USD,1,,,BART
105,5.25,USD,1,,,BART
106,5.30,USD,1,,,BART
107,5.35,USD,1,,,BART
108,5.40,USD,1,,,BART
109,5.45,USD,1,,,BART
110,5.50,USD,1,,,BART
111,5.55,USD,1,,,BART
112,5.60,USD,1,,,BART
113,5.65,USD,1,,,BART
114,5.70,USD,1,,,BART
115,5.75,USD,1,,,BART
116,5.80,USD,1,,,BART
117,5.85,USD,1,,,BART
118,5.90,USD,1,,,BART
119,5.95,USD,1,,,BART
120,6.00,USD,1,,,BART
121,6.05,USD,1,,,BART
122,6.10,USD,1,,,BART
123,6.15,USD,1,,,BART
124,6.20,USD,1,,,BART
125,6.25,USD,1,,,BART
126,6.30,USD,1,,,BART
127,6.35,USD,1,,,BART
128,6.40,USD,1,,,BART
129,6.45,USD,1,,,BART
132,6.60,USD,1,,,BART
133,6.65,USD,1,,,BART
135,6.75,USD,1,,,BART
137,6.85,USD,1,,,BART
140,7.00,USD,1,,,BART
143,7.15,USD,1,,,BART
146,7.30,USD,1,,,BART
150,7.50,USD,1,,,BART
154,7.70,USD,1,,,BART
157,7.85,USD,1,,,BART
161,8.05,USD,1,,,BART
163,8.15,USD,1,,,BART
165,8.25,USD,1,,,BART
168,8.40,USD,1,,,BART
170,8.50,USD,1,,,BART
172,8.60,USD,1,,,BART
174,8.70,USD,1,,,BART
175,8.75,USD,1,,,BART
176,8.80,USD,1,,,BART
177,8.85,USD,1,,,BART
179,8.95,USD,1,,,BART
180,9.00,USD,1,,,BART
183,9.15,USD,1,,,BART
184,9.20,USD,1,,,BART
187,9.35,USD,1,,,BART
188,9.40,USD,1,,,BART
191,9.55,USD,1,,,BART
193,9.65,USD,1,,,BART
194,9.70,USD,1,,,BART
198,9.90,USD,1,,,BART
199,9.95,USD,1,,,BART
201,10.05,USD,1,,,BART
208,10.40,USD,1,,,BART
211,10.55,USD,1,,,BART
212,10.60,USD,1,,,BART
214,10.70,USD,1,,,BART
221,11.05,USD,1,,,BART
airbart,3.00,USD,0,0,,AirBART
