fare_id,route_id,origin_id,destination_id,contains_id
105,,RICH,RICH,
35,,RICH,DELN,
35,,RICH,PLZA,
35,,RICH,NBRK,
35,,RICH,DBRK,
35,,RICH,ASHB,
49,,RICH,MCAR,
53,,RICH,19TH,
53,,RICH,12TH,
53,,RICH,LAKE,
59,,RICH,FTVL,
63,,RICH,COLS,
68,,RICH,SANL,
73,,RICH,BAYF,
78,,RICH,HAYW,
83,,RICH,SHAY,
92,,RICH,UCTY,
98,,RICH,FRMT,
86,,RICH,CONC,
79,,RICH,PHIL,
75,,RICH,WCRK,
69,,RICH,LAFY,
62,,RICH,ORIN,
50,,RICH,ROCK,
56,,RICH,WOAK,
86,,RICH,EMBR,
86,,RICH,MONT,
86,,RICH,POWL,
86,,RICH,CIVC,
87,,RICH,16TH,
88,,RICH,24TH,
91,,RICH,GLEN,
92,,RICH,BALB,
95,,RICH,DALY,
94,,RICH,COLM,
78,,RICH,CAST,
98,,RICH,DUBL,
89,,RICH,NCON,
99,,RICH,PITT,
98,,RICH,SSAN,
102,,RICH,SBRN,
187,,RICH,SFIA,
108,,RICH,MLBR,
95,,RICH,WDUB,
35,,DELN,RICH,
105,,DELN,DELN,
35,,DELN,PLZA,
35,,DELN,NBRK,
35,,DELN,DBRK,
35,,DELN,ASHB,
43,,DELN,MCAR,
47,,DELN,19TH,
47,,DELN,12TH,
47,,DELN,LAKE,
55,,DELN,FTVL,
59,,DELN,COLS,
64,,DELN,SANL,
69,,DELN,BAYF,
74,,DELN,HAYW,
79,,DELN,SHAY,
88,,DELN,UCTY,
95,,DELN,FRMT,
82,,DELN,CONC,
75,,DELN,PHIL,
72,,DELN,WCRK,
66,,DELN,LAFY,
59,,DELN,ORIN,
44,,DELN,ROCK,
50,,DELN,WOAK,
82,,DELN,EMBR,
82,,DELN,MONT,
82,,DELN,POWL,
82,,DELN,CIVC,
84,,DELN,16TH,
84,,DELN,24TH,
87,,DELN,GLEN,
88,,DELN,BALB,
91,,DELN,DALY,
90,,DELN,COLM,
74,,DELN,CAST,
94,,DELN,DUBL,
86,,DELN,NCON,
95,,DELN,PITT,
94,,DELN,SSAN,
98,,DELN,SBRN,
183,,DELN,SFIA,
104,,DELN,MLBR,
91,,DELN,WDUB,
35,,PLZA,RICH,
35,,PLZA,DELN,
105,,PLZA,PLZA,
35,,PLZA,NBRK,
35,,PLZA,DBRK,
35,,PLZA,ASHB,
38,,PLZA,MCAR,
42,,PLZA,19TH,
42,,PLZA,12TH,
42,,PLZA,LAKE,
50,,PLZA,FTVL,
56,,PLZA,COLS,
61,,PLZA,SANL,
66,,PLZA,BAYF,
71,,PLZA,HAYW,
76,,PLZA,SHAY,
85,,PLZA,UCTY,
91,,PLZA,FRMT,
79,,PLZA,CONC,
72,,PLZA,PHIL,
69,,PLZA,WCRK,
62,,PLZA,LAFY,
54,,PLZA,ORIN,
39,,PLZA,ROCK,
45,,PLZA,WOAK,
79,,PLZA,EMBR,
79,,PLZA,MONT,
79,,PLZA,POWL,
79,,PLZA,CIVC,
80,,PLZA,16TH,
81,,PLZA,24TH,
84,,PLZA,GLEN,
85,,PLZA,BALB,
88,,PLZA,DALY,
87,,PLZA,COLM,
71,,PLZA,CAST,
91,,PLZA,DUBL,
83,,PLZA,NCON,
92,,PLZA,PITT,
91,,PLZA,SSAN,
95,,PLZA,SBRN,
