trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
M-FSAT1DN,5:00:00,5:00:00,COLS,1,,,
M-FSAT1DN,5:20:00,5:20:00,OAK,2,,,
M-FSAT1UP,5:00:00,5:00:00,OAK,1,,,
M-FSAT1UP,5:20:00,5:20:00,COLS,2,,,
M-FSAT2DN,6:00:00,6:00:00,COLS,1,,,
M-FSAT2DN,6:20:00,6:20:00,OAK,2,,,
M-FSAT2UP,6:00:00,6:00:00,OAK,1,,,
M-FSAT2UP,6:20:00,6:20:00,COLS,2,,,
SUN1DN,8:00:00,8:00:00,COLS,1,,,
SUN1DN,8:20:00,8:20:00,OAK,2,,,
SUN1UP,8:00:00,8:00:00,OAK,1,,,
SUN1UP,8:20:00,8:20:00,COLS,2,,,
01SFO10SUN,08:00:00,08:00:00,LAFY,1,Millbrae,,
01SFO10SUN,08:05:00,08:05:00,ORIN,2,Millbrae,,
01SFO10SUN,08:11:00,08:11:00,ROCK,3,Millbrae,,
01SFO10SUN,08:15:00,08:15:00,MCAR_S,4,Millbrae,,
01SFO10SUN,08:19:00,08:19:00,19TH,5,Millbrae,,
01SFO10SUN,08:20:00,08:20:00,12TH,6,Millbrae,,
01SFO10SUN,08:25:00,08:25:00,WOAK,7,Millbrae,,
01SFO10SUN,08:32:00,08:32:00,EMBR,8,Millbrae,,
01SFO10SUN,08:33:00,08:33:00,MONT,9,Millbrae,,
01SFO10SUN,08:35:00,08:35:00,POWL,10,Millbrae,,
01SFO10SUN,08:36:00,08:36:00,CIVC,11,Millbrae,,
01SFO10SUN,08:38:00,08:38:00,16TH,12,Millbrae,,
01SFO10SUN,08:40:00,08:40:00,24TH,13,Millbrae,,
01SFO10SUN,08:43:00,08:43:00,GLEN,14,Millbrae,,
01SFO10SUN,08:45:00,08:45:00,BALB,15,Millbrae,,
01SFO10SUN,08:49:00,08:49:00,DALY,16,Millbrae,,
01SFO10SUN,08:53:00,08:53:00,COLM,17,Millbrae,,
01SFO10SUN,08:56:00,08:56:00,SSAN,18,Millbrae,,
01SFO10SUN,09:00:00,09:00:00,SBRN,19,Millbrae,,
01SFO10SUN,09:05:00,09:05:00,SFIA,20,Millbrae,,
01SFO10SUN,09:09:00,09:09:00,MLBR,21,Millbrae,,
02SFO10SUN,07:57:00,07:57:00,PITT,1,Millbrae,,
02SFO10SUN,08:04:00,08:04:00,NCON,2,Millbrae,,
02SFO10SUN,08:07:00,08:07:00,CONC,3,Millbrae,,
02SFO10SUN,08:12:00,08:12:00,PHIL,4,Millbrae,,
02SFO10SUN,08:16:00,08:16:00,WCRK,5,Millbrae,,
02SFO10SUN,08:20:00,08:20:00,LAFY,6,Millbrae,,
02SFO10SUN,08:25:00,08:25:00,ORIN,7,Millbrae,,
02SFO10SUN,08:31:00,08:31:00,ROCK,8,Millbrae,,
02SFO10SUN,08:35:00,08:35:00,MCAR_S,9,Millbrae,,
02SFO10SUN,08:39:00,08:39:00,19TH,10,Millbrae,,
02SFO10SUN,08:40:00,08:40:00,12TH,11,Millbrae,,
02SFO10SUN,08:45:00,08:45:00,WOAK,12,Millbrae,,
02SFO10SUN,08:52:00,08:52:00,EMBR,13,Millbrae,,
02SFO10SUN,08:53:00,08:53:00,MONT,14,Millbrae,,
02SFO10SUN,08:55:00,08:55:00,POWL,15,Millbrae,,
02SFO10SUN,08:56:00,08:56:00,CIVC,16,Millbrae,,
02SFO10SUN,08:58:00,08:58:00,16TH,17,Millbrae,,
02SFO10SUN,09:00:00,09:00:00,24TH,18,Millbrae,,
02SFO10SUN,09:03:00,09:03:00,GLEN,19,Millbrae,,
02SFO10SUN,09:05:00,09:05:00,BALB,20,Millbrae,,
02SFO10SUN,09:09:00,09:09:00,DALY,21,Millbrae,,
02SFO10SUN,09:13:00,09:13:00,COLM,22,Millbrae,,
02SFO10SUN,09:16:00,09:16:00,SSAN,23,Millbrae,,
02SFO10SUN,09:20:00,09:20:00,SBRN,24,Millbrae,,
02SFO10SUN,09:25:00,09:25:00,SFIA,25,Millbrae,,
02SFO10SUN,09:29:00,09:29:00,MLBR,26,Millbrae,,
03SFO10SUN,08:17:00,08:17:00,PITT,1,Millbrae,,
03SFO10SUN,08:24:00,08:24:00,NCON,2,Millbrae,,
03SFO10SUN,08:27:00,08:27:00,CONC,3,Millbrae,,
03SFO10SUN,08:32:00,08:32:00,PHIL,4,Millbrae,,
03SFO10SUN,08:36:00,08:36:00,WCRK,5,Millbrae,,
03SFO10SUN,08:40:00,08:40:00,LAFY,6,Millbrae,,
03SFO10SUN,08:45:00,08:45:00,ORIN,7,Millbrae,,
03SFO10SUN,08:51:00,08:51:00,ROCK,8,Millbrae,,
03SFO10SUN,08:55:00,08:55:00,MCAR_S,9,Millbrae,,
03SFO10SUN,08:59:00,08:59:00,19TH,10,Millbrae,,
03SFO10SUN,09:00:00,09:00:00,12TH,11,Millbrae,,
03SFO10SUN,09:05:00,09:05:00,WOAK,12,Millbrae,,
03SFO10SUN,09:12:00,09:12:00,EMBR,13,Millbrae,,
03SFO10SUN,09:13:00,09:13:00,MONT,14,Millbrae,,
03SFO10SUN,09:15:00,09:15:00,POWL,15,Millbrae,,
03SFO10SUN,09:16:00,09:16:00,CIVC,16,Millbrae,,
03SFO10SUN,09:18:00,09:18:00,16TH,17,Millbrae,,
03SFO10SUN,09:20:00,09:20:00,24TH,18,Millbrae,,
03SFO10SUN,09:23:00,09:23:00,GLEN,19,Millbrae,,
03SFO10SUN,09:25:00,09:25:00,BALB,20,Millbrae,,
