stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
12TH,12th St. Oakland City Center,,37.803664,-122.271604,12TH,http://www.bart.gov/stations/12TH/
16TH,16th St. Mission,,37.765062,-122.419694,16TH,http://www.bart.gov/stations/16TH/
19TH,19th St. Oakland,,37.80787,-122.269029,19TH,http://www.bart.gov/stations/19TH/
19TH_N,19th St. Oakland,,37.80787,-122.269029,19TH,http://www.bart.gov/stations/19TH/
24TH,24th St. Mission,,37.752254,-122.418466,24TH,http://www.bart.gov/stations/24TH/
ASHB,Ashby,,37.853024,-122.26978,ASHB,http://www.bart.gov/stations/ASHB/
BALB,Balboa Park,,37.72198087,-122.4474142,BALB,http://www.bart.gov/stations/BALB/
BAYF,Bay Fair,,37.697185,-122.126871,BAYF,http://www.bart.gov/stations/BAYF/
CAST,Castro Valley,,37.690754,-122.075567,CAST,http://www.bart.gov/stations/CAST/
CIVC,Civic Center/UN Plaza,,37.779528,-122.413756,CIVC,http://www.bart.gov/stations/CIVC/
COLS,Coliseum/Oakland Airport,,37.754006,-122.197273,COLS,http://www.bart.gov/stations/COLS/
COLM,Colma,,37.684638,-122.466233,COLM,http://www.bart.gov/stations/COLM/
CONC,Concord,,37.973737,-122.029095,CONC,http://www.bart.gov/stations/CONC/
DALY,Daly City,,37.70612055,-122.4690807,DALY,http://www.bart.gov/stations/DALY/
DBRK,Downtown Berkeley,,37.869867,-122.268045,DBRK,http://www.bart.gov/stations/DBRK/
DUBL,Dublin/Pleasanton,,37.701695,-121.900367,DUBL,http://www.bart.gov/stations/DUBL/
DELN,El Cerrito del Norte,,37.925655,-122.317269,DELN,http://www.bart.gov/stations/DELN/
PLZA,El Cerrito Plaza,,37.9030588,-122.2992715,PLZA,http://www.bart.gov/stations/PLZA/
EMBR,Embarcadero,,37.792976,-122.396742,EMBR,http://www.bart.gov/stations/EMBR/
FRMT,Fremont,,37.557355,-121.9764,FRMT,http://www.bart.gov/stations/FRMT/
FTVL,Fruitvale,,37.774963,-122.224274,FTVL,http://www.bart.gov/stations/FTVL/
GLEN,Glen Park,,37.732921,-122.434092,GLEN,http://www.bart.gov/stations/GLEN/
HAYW,Hayward,,37.670399,-122.087967,HAYW,http://www.bart.gov/stations/HAYW/
LAFY,Lafayette,,37.893394,-122.123801,LAFY,http://www.bart.gov/stations/LAFY/
LAKE,Lake Merritt,,37.797484,-122.265609,LAKE,http://www.bart.gov/stations/LAKE/
MCAR,MacArthur,,37.828415,-122.267227,MCAR,http://www.bart.gov/stations/MCAR/
MCAR_S,MacArthur,,37.828415,-122.267227,MCAR,http://www.bart.gov/stations/MCAR/
MLBR,Millbrae,,37.599787,-122.38666,MLBR,http://www.bart.gov/stations/MLBR/
MONT,Montgomery St.,,37.789256,-122.401407,MONT,http://www.bart.gov/stations/MONT/
NBRK,North Berkeley,,37.87404,-122.283451,NBRK,http://www.bart.gov/stations/NBRK/
NCON,North Concord/Martinez,,38.003275,-122.024597,NCON,http://www.bart.gov/stations/NCON/
ORIN,Orinda,,37.87836087,-122.1837911,ORIN,http://www.bart.gov/stations/ORIN/
PITT,Pittsburg/Bay Point,,38.018914,-121.945154,PITT,http://www.bart.gov/stations/PITT/
PHIL,Pleasant Hill/Contra Costa Centre,,37.928403,-122.056013,PHIL,http://www.bart.gov/stations/PHIL/
POWL,Powell St.,,37.784991,-122.406857,POWL,http://www.bart.gov/stations/POWL/
RICH,Richmond,,37.936887,-122.353165,RICH,http://www.bart.gov/stations/RICH/
ROCK,Rockridge,,37.844601,-122.251793,ROCK,http://www.bart.gov/stations/ROCK/
SBRN,San Bruno,,37.637753,-122.416038,SBRN,http://www.bart.gov/stations/SBRN/
SFIA,San Francisco Int'l Airport,,37.6159,-122.392534,SFIA,http://www.bart.gov/stations/SFIA/
SANL,San Leandro,,37.72261921,-122.1613112,SANL,http://www.bart.gov/stations/SANL/
SHAY,South Hayward,,37.63479954,-122.0575506,SHAY,http://www.bart.gov/stations/SHAY/
SSAN,South San Francisco,,37.664174,-122.444116,SSAN,http://www.bart.gov/stations/SSAN/
UCTY,Union City,,37.591208,-122.017867,UCTY,http://www.bart.gov/stations/UCTY/
WCRK,Walnut Creek,,37.905628,-122.067423,WCRK,http://www.bart.gov/stations/WCRK/
WDUB,West Dublin/Pleasanton,,37.699759,-121.928099,WDUB,http://www.bart.gov/stations/WDUB/
WOAK,West Oakland,,37.80467476,-122.2945822,WOAK,http://www.bart.gov/stations/WOAK/
OAK,Oakland Airport Terminals AirBART,,37.712811,-122.213165,,http://www.bart.gov/guide/airport/inbound_oak.aspx

