trip_id,route_id,service_id,trip_headsign,direction_id,block_id,shape_id
"101_20121001","ct_local_20121001","WD_20121001","San Francisco (Train 101)","0",,"cal_sj_sf"
"102_20121001","ct_local_20121001","WD_20121001","San Jose (Train 102)","1",,"cal_sf_sj"
"103_20121001","ct_local_20121001","WD_20121001","San Francisco (Train 103)","0",,"cal_tam_sf"
"104_20121001","ct_local_20121001","WD_20121001","Tamien (Train 104)","1",,"cal_sf_tam"
"134_20121001","ct_local_20121001","WD_20121001","San Jose (Train 134)","1",,"cal_sf_sj"
"135_20121001","ct_local_20121001","WD_20121001","San Francisco (Train 135)","0",,"cal_sj_sf"
"138_20121001","ct_local_20121001","WD_20121001","San Jose (Train 138)","1",,"cal_sf_sj"
"139_20121001","ct_local_20121001","WD_20121001","San Francisco (Train 139)","0",,"cal_sj_sf"
"142_20121001","ct_local_20121001","WD_20121001","San Jose (Train 142)","1",,"cal_sf_sj"
"143_20121001","ct_local_20121001","WD_20121001","San Francisco (Train 143)","0",,"cal_sj_sf"
"146_20121001","ct_local_20121001","WD_20121001","San Jose (Train 146)","1",,"cal_sf_sj"
"147_20121001","ct_local_20121001","WD_20121001","San Francisco (Train 147)","0",,"cal_sj_sf"
"150_20121001","ct_local_20121001","WD_20121001","San Jose (Train 150)","1",,"cal_sf_sj"
"151_20121001","ct_local_20121001","WD_20121001","San Francisco (Train 151)","0",,"cal_sj_sf"
"152_20121001","ct_local_20121001","WD_20121001","San Jose (Train 152)","1",,"cal_sf_sj"
"155_20121001","ct_local_20121001","WD_20121001","San Francisco (Train 155)","0",,"cal_sj_sf"
"156_20121001","ct_local_20121001","WD_20121001","Gilroy (Train 156)","1",,"cal_sf_gil"
"159_20121001","ct_local_20121001","WD_20121001","San Francisco (Train 159)","0",,"cal_sj_sf"
"190_20121001","ct_local_20121001","WD_20121001","San Jose (Train 190)","1",,"cal_sf_sj"
"191_20121001","ct_local_20121001","WD_20121001","San Francisco (Train 191)","0",,"cal_sj_sf"
"192_20121001","ct_local_20121001","WD_20121001","Tamien (Train 192)","1",,"cal_sf_tam"
"193_20121001","ct_local_20121001","WD_20121001","San Francisco (Train 193)","0",,"cal_sj_sf"
"194_20121001","ct_local_20121001","WD_20121001","Tamien (Train 194)","1",,"cal_sf_tam"
"195_20121001","ct_local_20121001","WD_20121001","San Francisco (Train 195)","0",,"cal_tam_sf"
"196_20121001","ct_local_20121001","WD_20121001","San Jose (Train 196)","1",,"cal_sf_sj"
"197_20121001","ct_local_20121001","WD_20121001","San Francisco (Train 197)","0",,"cal_tam_sf"
"198_20121001","ct_local_20121001","WD_20121001","San Jose (Train 198)","1",,"cal_sf_sj"
"199_20121001","ct_local_20121001","WD_20121001","San Francisco (Train 199)","0",,"cal_sj_sf"
"206_20121001","ct_limited_20121001","WD_20121001","San Jose (Train 206)","1",,"cal_sf_sj"
"207_20121001","ct_limited_20121001","WD_20121001","San Francisco (Train 207)","0",,"cal_tam_sf"
"208_20121001","ct_limited_20121001","WD_20121001","Tamien (Train 208)","1",,"cal_sf_tam"
"210_20121001","ct_limited_20121001","WD_20121001","Tamien (Train 210)","1",,"cal_sf_tam"
"211_20121001","ct_limited_20121001","WD_20121001","San Francisco (Train 211)","0",,"cal_sj_sf"
"215_20121001","ct_limited_20121001","WD_20121001","San Francisco (Train 215)","0",,"cal_sj_sf"
"216_20121001","ct_limited_20121001","WD_20121001","San Jose (Train 216)","1",,"cal_sf_sj"
"217_20121001","ct_limited_20121001","WD_20121001","San Francisco (Train 217)","0",,"cal_gil_sf"
"218_20121001","ct_limited_20121001","WD_20121001","Tamien (Train 218)","1",,"cal_sf_tam"
"220_20121001","ct_limited_20121001","WD_20121001","Tamien (Train 220)","1",,"cal_sf_tam"
"221_20121001","ct_limited_20121001","WD_20121001","San Francisco (Train 221)","0",,"cal_gil_sf"
"225_20121001","ct_limited_20121001","WD_20121001","San Francisco (Train 225)","0",,"cal_sj_sf"
"226_20121001","ct_limited_20121001","WD_20121001","San Jose (Train 226)","1",,"cal_sf_sj"
"227_20121001","ct_limited_20121001","WD_20121001","San Francisco (Train 227)","0",,"cal_gil_sf"
"228_20121001","ct_limited_20121001","WD_20121001","Tamien (Train 228)","1",,"cal_sf_tam"
"230_20121001","ct_limited_20121001","WD_20121001","Tamien (Train 230)","1",,"cal_sf_tam"
"231_20121001","ct_limited_20121001","WD_20121001","San Francisco (Train 231)","0",,"cal_sj_sf"
"233_20121001","ct_limited_20121001","WD_20121001","San Francisco (Train 233)","0",,"cal_tam_sf"
"236_20121001","ct_limited_20121001","WD_20121001","Tamien (Train 236)","1",,"cal_sf_tam"
"237_20121001","ct_limited_20121001","WD_20121001","San Francisco (Train 237)","0",,"cal_tam_sf"
